from_stop_id,to_stop_id,transfer_type,min_transfer_time
891085003710,891085003710,2,180
891085003712,891085003712,2,180
891085003826,891085003826,2,180
891085003834,891085003834,2,180
891085003832,891085003832,2,180
891085003838,891085003838,2,180
891085004501,891085004501,2,180
891085004003,891085004003,2,180
891085004106,891085004106,2,180
891085004104,891085004104,2,180
891085004102,891085004102,2,180
891085004203,891085004203,2,180
891085014602,891085014602,2,180
891085014604,891085014604,2,180
891085004602,891085004602,2,180
891085004701,891085004701,2,180
891085004702,891085004702,2,180
891085004213,891085004213,2,180
891085004204,891085004204,2,180
891085003836,891085003836,2,180
891085004403,891085004403,2,180
891085004401,891085004401,2,180
891085004111,891085004111,2,180
891085004103,891085004103,2,180
891085004105,891085004105,2,180
891085004107,891085004107,2,180
891085004006,891085004006,2,180
891085004008,891085004008,2,180
891085004502,891085004502,2,180
891085003837,891085003837,2,180
891085004005,891085004005,2,180
891085004108,891085004108,2,180
891085004402,891085004402,2,180
891085004404,891085004404,2,180
891085003835,891085003835,2,180
891085004004,891085004004,2,180
891085010203,891085010203,2,180
891085010204,891085010204,2,180
891085010207,891085010207,2,180
891085010209,891085010209,2,180
891085010210,891085010210,2,180
891085020168,891085020168,2,180
891085010201,891085010201,2,180
891085010202,891085010202,2,180
891085010208,891085010208,2,180
891085000211,891085000211,2,180
891085000213,891085000213,2,180
891085001608,891085001608,2,180
891085001711,891085001711,2,180
891085001712,891085001712,2,180
891085001609,891085001609,2,180
891085040121,891085040121,2,180
891085040102,891085040102,2,180
891085000101,891085000101,2,180
891085000146,891085000146,2,180
891085012901,891085012901,2,180
891085012903,891085012903,2,180
891085012904,891085012904,2,180
891085012905,891085012905,2,180
891085012906,891085012906,2,180
891085012902,891085012902,2,180
